FECHA Y HORA,FECHA,HORA,LINEA,MOTIVO,DURACION
02/07/2019 17:04,02/07/19,17:04:03,A,Servicio limitado entre Plaza de Mayo y Loria,00:02:00
01/02/2019 13:34,01/02/19,13:34:09,A,Servicio con demora debido a la atencion medica a un usuario,00:01:59
01/02/2019 13:40,01/02/19,13:40:10,A,Servicio limitado entre San Pedrito y Rio de Janeiro,00:01:59
17/01/2019 00:42,17/01/19,00:42:07,A,Servicio con demora,00:01:55
13/11/2019 15:30,13/11/19,15:30:22,A,Servicio limitado entre Plaza de Mayo y Loria,00:01:53
10/06/2019 21:44,10/06/19,21:44:11,A,Servicio con demora debido a la atencion medica a un usuario,00:01:52
26/07/2019 13:26,26/07/19,13:26:12,A,Servicio con demora debido a la atencion medica a un usuario,00:01:50
29/05/2019 08:26,29/05/19,08:26:11,B,Servicio interrumpido por medida de fuerza gremial,20:31:52
16/06/2019 15:44,16/06/19,15:44:10,B,Interrumpida por falta de suministro de energía eléctrica debido a causas ajenas,09:00:00
25/03/2019 19:00,25/03/19,19:00:07,B,Servicio Limitado entre Rosas y Florida por operativo de seguridad en la vía pública,07:57:57
29/11/2019 08:36,29/11/19,08:36:14,B,Servicio interrumpido por medida de fuerza gremial,07:23:58
12/02/2019 13:36,12/02/19,13:36:07,B,Servicio Limitado entre J. M. de Rosas y Medrano,03:57:56
06/09/2019 16:14,06/09/19,16:14:08,B,Servicio interrumpido por medida de fuerza gremial,03:47:55
04/11/2019 14:18,04/11/19,14:18:07,B,Servicio con demora por factores climáticos.,03:22:01
13/01/2019 13:18,13/01/19,13:18:02,B,Los trenes no se detienen en Callao con destino a L. N. Alem,03:02:02
20/11/2019 08:32,20/11/19,08:32:05,B,Servicio interrumpido por medida de fuerza gremial,02:58:19
18/03/2019 14:18,18/03/19,14:18:09,B,Por atención médica a un usuario Los trenes no se detienen en Pueyrredón,02:47:59
12/06/2019 21:02,12/06/19,21:02:03,B,Servicio Limitado entre J. M. de Rosas y Medrano,02:46:06
29/08/2019 19:06,29/08/19,19:06:10,B,Servicio Limitado entre J. M. de Rosas y Medrano,02:46:00
